ID,Male,Age,College,AgeTryCig,CigDays,AgeTryAlc,AlcDays,Drinker,DrinkFreq
603,0,15,0,14,0,11,0,0,0
604,0,18,0,16,0,17,3,1,1
605,0,15,0,16,0,16,0,0,0
606,0,18,0,16,0,16,0,0,0
607,1,49,1,18,0,16,0,0,0
608,1,19,0,16,0,15,0,0,0
609,0,23,0,17,1,17,0,0,0
610,0,23,0,17,0,17,0,0,0
611,0,29,1,19,0,24,2,1,1
612,1,58,0,28,0,14,3,1,1
613,0,29,1,17,0,17,0,0,0
614,1,27,0,23,30,21,2,1,1
615,0,37,0,17,0,15,0,0,0
616,1,13,0,16,6,14,0,0,0
617,1,19,0,16,7,15,0,0,0
618,1,13,0,16,0,15,0,0,0
619,0,23,1,17,4,14,10,1,2
620,0,12,0,16,0,16,0,0,0
621,1,24,1,22,15,16,0,0,0
622,0,20,0,17,0,19,0,0,0
623,0,72,0,21,0,23,0,0,0
624,0,25,0,23,1,20,4,1,1
625,0,17,0,16,0,16,0,0,0
626,1,12,0,16,0,15,0,0,0
627,0,57,0,23,0,44,0,0,0
628,0,31,0,19,0,27,0,0,0
629,1,28,0,18,1,21,6,1,1
630,1,33,0,17,0,16,2,1,1
631,1,27,0,16,3,15,0,0,0
632,0,12,0,15,0,10,0,0,0
633,0,14,0,13,11,11,11,1,2
634,0,15,0,16,0,16,0,0,0
635,1,13,0,16,0,15,0,0,0
636,1,15,0,16,0,15,0,0,0
637,0,25,0,17,0,17,0,0,0
638,0,14,0,16,0,16,0,0,0
639,0,69,0,24,0,40,0,0,0
640,1,20,0,17,0,18,0,0,0
641,1,23,1,17,4,15,6,1,1
642,0,18,0,16,5,17,0,0,0
643,1,13,0,16,0,14,0,0,0
644,1,28,0,16,0,15,0,0,0
645,1,47,0,15,30,15,0,0,0
646,1,15,0,16,0,15,0,0,0
647,0,14,0,16,0,16,0,0,0
648,0,72,0,13,9,27,0,0,0
649,1,23,0,17,0,17,3,1,1
650,1,27,0,18,0,22,0,0,0
651,0,15,0,16,0,14,0,0,0
652,1,51,0,15,0,18,0,0,0
653,0,15,0,16,0,15,0,0,0
654,0,15,0,15,12,13,11,1,2
655,1,24,0,17,0,18,0,0,0
656,0,18,0,16,0,16,0,0,0
657,0,14,0,16,0,16,0,0,0
658,0,12,0,16,0,15,0,0,0
659,0,23,0,17,0,16,0,0,0
660,0,30,1,17,0,16,0,0,0
661,1,16,0,16,0,15,0,0,0
662,0,15,0,16,0,14,2,1,1
663,1,85,0,23,0,27,0,0,0
664,0,30,0,17,0,17,0,0,0
665,0,17,0,16,0,16,0,0,0
666,0,17,0,16,0,16,0,0,0
667,1,13,0,16,0,14,0,0,0
668,1,22,0,16,0,15,0,0,0
669,0,13,0,16,0,13,1,1,1
670,0,30,0,17,0,17,0,0,0
671,1,17,0,12,30,11,3,1,1
672,1,15,0,15,7,10,10,1,2
673,1,14,0,16,0,15,0,0,0
674,1,19,0,17,0,19,0,0,0
675,0,21,0,19,30,17,0,0,0
676,1,42,0,17,0,16,4,1,1
677,0,33,0,20,0,20,0,0,0
678,0,52,0,19,0,20,0,0,0
679,1,30,0,22,0,16,2,1,1
680,1,24,1,20,2,15,2,1,1
681,0,34,0,19,0,25,0,0,0
682,1,21,0,21,11,10,20,1,2
683,1,25,0,19,3,19,1,1,1
684,1,35,0,18,30,12,5,1,1
685,0,14,0,16,4,16,0,0,0
686,0,16,0,16,0,15,0,0,0
